ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
BG9000011163,A2ARPV,"EXPAT BULGARIEN SOFIA X",ETFs,"ETFs Länder Sonstige"
BGCROEX03189,A2JB7C,"EXPAT CROAT.CROBEX UCITS",ETFs,"ETFs Länder Sonstige"
BGCZPX003174,A2JAG6,"EXPAT CZECH PX UCITS ETF",ETFs,"ETFs Länder Europa"
BGGRASE06174,A2JAG9,"EXPAT GREECE ASE UC.ETF",ETFs,"ETFs Länder Europa"
BGHUBUX01189,A2JB7B,"EXPAT HUNG. BUX UCITS ETF",ETFs,"ETFs Länder Sonstige"
BGMACMB06181,A2JB7E,"EXPAT MAC.MBI10 UCITS ETF",ETFs,"ETFs Länder Sonstige"
BGPLWIG04173,A2JAHA,"EXPAT POLAND WIG20 U.ETF",ETFs,"ETFs Länder Europa"
BGROBET05176,A2JAHB,"EXPAT ROMANIA BET-BK U.E.",ETFs,"ETFs Länder Sonstige"
BGSKSAX04187,A2JB7H,"EXPAT SLOVAK.SAX UCITS",ETFs,"ETFs Länder Sonstige"
BGSLOBI02187,A2JB7F,"EXPAT SLOV.SBI TOP UCITS",ETFs,"ETFs Länder Sonstige"
BGSRBBE05183,A2JB7D,"EXPAT SERB.BELEX15 UCITS",ETFs,"ETFs Länder Sonstige"
CA08661M1041,A2PLNF,"BETAPRO MARIJ.COS 2X DB.A",ETFs,"ETFs Basic Resources"
CA08662M1032,A2PLNE,"BETAPRO MARIJ.COS.INV. A",ETFs,"ETFs Basic Resources"
CA44054J1012,A2DTQB,"HORIZONS MAR.LIEFE SCI.A",ETFs,"ETFs Basic Resources"
CH0016999861,A0D95M,"IS S.DOM GO.BD7-15ETF(CH)",ETFs,"ETFs Europa Bonds"
CH0017142719,A0BLUH,"UBS ETF (CH) - SMI SFAD",ETFs,"ETFs Länder Europa"
CH0019852802,A0DPEL,"ISHARES SMIM ETF (CH)",ETFs,"ETFs Länder Europa"
CH0032912732,A0M9J8,"UBS ETF (CH) - SLI SFAD",ETFs,"ETFs Länder Europa"
CH0104136285,A0YDPY,"IS GOLD CHF HGD ETF (CH)",ETFs,"ETFs Rohstoffe ETCs"
CH0106405894,A1CSJD,"SW.ETF P.M.-PHYS.SIL.ASF",ETFs,"ETFs Rohstoffe ETCs"
CH0131872431,A1JB69,"UBS ETF (CH) SPI CHF AD",ETFs,"ETFs Länder Europa"
CH0368190739,A2DU7K,"UBS E.(CH)-M.S.IMI SRADSF",ETFs,"ETFs Länder Europa"
CH0445689208,A2TT3D,"21SHARES HODL BSK ETP OE",ETFs,"Other ETFs"
CH0454664001,A2T64E,"21SHARES BITCOIN ETP OE",ETFs,"Other ETFs"
CH0454664027,A2T68Z,"21SHARES ETHER ETP OE",ETFs,"Other ETFs"
CH0454664043,A2UBKC,"21SHARES RIPPLEXRP ETP OE",ETFs,"Other ETFs"
CH0475552201,A2126N,"21SHARES BTC CASH ETP OE",ETFs,"Other ETFs"
CH0475986318,A2107P,"21SHARES BITWISE 10ETP OE",ETFs,"Other ETFs"
CH0491507486,A22J1S,"21SHARES AG ETP.Z O.E.",ETFs,"Other ETFs"
CH0496454155,A22GRU,"21SHARES BINANCEBNB ETPOE",ETFs,"Other ETFs"
CH0496484640,A22FMC,"21SHARES BC/ET BSK ETP OE",ETFs,"Other ETFs"
CH0514065058,A2781V,"21SHARES SHORT BTC ETP OE",ETFs,"Other ETFs"
CH0548689600,A3GQYG,"BITC.CAP CRYPTO ETP",ETFs,"Other ETFs"
CH0593331561,A3GPQM,"21SHARES POLKADOT ETP OE",ETFs,"Other ETFs"
CH1102728750,A3GRTN,"21SHARES CARDANO ADA ETP",ETFs,"Other ETFs"
CH1109575535,A3GRTM,"21SHARES STELLAR XLM OE",ETFs,"Other ETFs"
CH1114873776,A3GSS0,"21SHARES POLKADOT ETP OE",ETFs,"Other ETFs"
DE0002635265,263526,ISHARESJUMPFANDB,ETFs,"ETFs Europa Bonds"
DE0002635273,263527,"DIVDAX EX FD",ETFs,"ETFs Deutschland"
DE0002635281,263528,"DJ SX5E DIV 30EX",ETFs,"ETFs Europa Gesamt"
DE0002635299,263529,"ISHARES DJ STOXX SEL. DIV.",ETFs,"ETFs Europa Gesamt"
DE0002635307,263530,"ISHARES DJ STOXX 600 (DE)",ETFs,"ETFs Europa Gesamt"
DE0005933923,593392,"MDAX EX",ETFs,"ETFs Deutschland"
