ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
BG9000011163,A2ARPV,"EXPAT BUL.SOFIX UCITS ETF",ETFs,"sonstige ETFs"
BGCROEX03189,A2JB7C,"EXPAT CROAT.CROBEX UCITS",ETFs,"sonstige ETFs"
BGCZPX003174,A2JAG6,"EXPAT CZECH PX UCITS ETF",ETFs,"sonstige ETFs"
BGGRASE06174,A2JAG9,"EXPAT GREECE ASE UC.ETF",ETFs,"sonstige ETFs"
BGHUBUX01189,A2JB7B,"EXPAT HUNG. BUX UCITS ETF",ETFs,"sonstige ETFs"
BGMACMB06181,A2JB7E,"EXPAT MAC.MBI10 UCITS ETF",ETFs,"sonstige ETFs"
BGPLWIG04173,A2JAHA,"EXPAT POLAND WIG20 U.ETF",ETFs,"sonstige ETFs"
BGROBET05176,A2JAHB,"EXPAT ROMANIA BET-BK U.E.",ETFs,"sonstige ETFs"
BGSKSAX04187,A2JB7H,"EXPAT SLOVAK.SAX UCITS",ETFs,"sonstige ETFs"
BGSLOBI02187,A2JB7F,"EXPAT SLOV.SBI TOP UCITS",ETFs,"sonstige ETFs"
BGSRBBE05183,A2JB7D,"EXPAT SERB.BELEX15 UCITS",ETFs,"sonstige ETFs"
CA08662M1032,A2PLNE,"BETAPRO MARIJ.COS.INV. A",ETFs,"ETFs Basic Resources"
CH0016999861,A0D95M,"IS S.DOM GO.BD7-15ETF(CH)",ETFs,"ETFs Europa Bonds"
CH0017142719,A0BLUH,"UBS ETF (CH) - SMI SFAD",ETFs,"ETFs Europa Gesamt"
CH0019852802,A0DPEL,"ISHARES SMIM ETF (CH)",ETFs,"ETFs Europa Gesamt"
CH0032912732,A0M9J8,"UBS ETF (CH) - SLI SFAD",ETFs,"ETFs Europa Gesamt"
CH0104136285,A0YDPY,"IS GOLD CHF HGD ETF (CH)",ETFs,"ETFs Rohstoffe ETCs"
CH0106405894,A1CSJD,"SW.ETF P.M.-PHYS.SIL.ASF",ETFs,"ETFs Rohstoffe ETCs"
CH0124758522,A1H8YG,"UBS ETF CH SXI R.EST.ASFD",ETFs,"ETFs Branchen"
CH0131872431,A1JB69,"UBS ETF (CH) SPI CHF AD",ETFs,"ETFs Europa Gesamt"
CH0237935652,A110UZ,"ISHS CORE SPI ETF (CH)",ETFs,"ETFs Branchen"
CH0368190739,A2DU7K,"UBS E.(CH)-M.S.IMI SRADSF",ETFs,"ETFs Europa Gesamt"
CH0445689208,A2TT3D,"21SHARES HODL BSK ETP OE",ETFs,"sonstige ETFs"
CH0454664001,A2T64E,"21SHARES BITCOIN ETP OE",ETFs,"sonstige ETFs"
CH0454664027,A2T68Z,"21SHARES ETHER ETP OE",ETFs,"sonstige ETFs"
CH0454664043,A2UBKC,"21SHARES RIPPLEXRP ETP OE",ETFs,"sonstige ETFs"
CH0475552201,A2126N,"21SHARES BTC CASH ETP OE",ETFs,"sonstige ETFs"
CH0475986318,A2107P,"21SHARES BITWISE 10ETP OE",ETFs,"sonstige ETFs"
CH0491507486,A22J1S,"21SHARES AG ETP.Z O.E.",ETFs,"sonstige ETFs"
CH0496454155,A22GRU,"21SHARES BINANCEBNB ETPOE",ETFs,"sonstige ETFs"
CH0496484640,A22FMC,"21SHARES BC/ET BSK ETP OE",ETFs,"sonstige ETFs"
CH0508793459,A270EB,"21SHARES SYGNUM MOON ETP",ETFs,"sonstige ETFs"
