ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
AN8068571086,853390,"SCHLUMBERGER   DL-, 01","Aktien USA","Aktien USA Select"
AT000000STR1,A0M23V,STRABAG,"Aktien Europa","Aktien Europa Select"
AT00000AMAG3,A1JFYU,"AMAG AUSTRIA METALL AG","Aktien Europa","Aktien Europa Select"
AT00000FACC2,A1147K,"FACC AG","Aktien Europa","Aktien Europa Select"
AT00000VIE62,A2AMK9,"FLUGHAFEN WIEN","Aktien Europa","Aktien Europa Select"
AT0000606306,A0D9SU,"RAIFFEISEN INTL","Aktien Europa","Aktien Europa Select"
AT0000609607,850185,"PORR AG","Aktien Europa","Aktien Europa Select"
AT0000615364,A0ER7P,"3 BANKEN STAATSANLEIHEN","Aktien International","Aktien International"
AT0000616701,A0F5L6,"ATHOS IMMOBILIEN AG. INH.","Aktien Europa","Aktien Europa Select"
AT0000625108,854018,"OBERBANK AG","Aktien Europa","Aktien Europa Select"
AT0000641352,876520,"CA IMMOBILIEN ANLAGEN AG","Aktien Europa","Aktien Europa Select"
AT0000644505,852927,"LENZING AG","Aktien Europa","Aktien Europa Select"
AT0000646799,A0J36T,"ERSTE RESP.ST.EURR01TEO",Fonds,"Fonds Aktien"
AT0000652011,909943,"ERSTE BANK","Aktien Europa","Aktien Europa Select"
AT0000652250,902388,"SPARKASSEN IMMOBILIEN","Aktien Europa","Aktien Europa Select"
AT0000662275,255243,"3 BANKEN OESTERREICH-FDS",Fonds,"Fonds Aktien"
AT0000720008,588811,"TELEKOM AUSTRIA","Aktien Europa","Aktien Europa Select"
AT0000730007,632305,ANDRITZ,"Aktien Europa","Aktien Europa Select"
AT0000741053,878279,"EVN ENERGIEVERSG","Aktien Europa","Aktien Europa Select"
AT0000743059,874341,"OMV AG","Aktien Europa","Aktien Europa Select"
AT0000745856,591730,"RAIFF.EURASIEN-AKT.RA ST.",Fonds,"Fonds Aktien"
AT0000746409,877738,"VERBUND AG       INH. A","Aktien Europa","Aktien Europa Select"
AT0000758305,919964,PALFINGER,"Aktien Europa","Aktien Europa Select"
AT0000785225,534049,"RAIFF.-EUROPA-AKTIEN RVTA",Fonds,"Fonds Aktien"
AT0000785241,622904,"RAIFF.-OSTEUR.-AKT.RVT S.",Fonds,"Fonds Aktien"
AT0000785407,922985,"FABASOFT AG","Aktien Deutschland","Aktien Sonstige"
AT0000785555,870378,"SEMPERIT AG HOLDING","Aktien Europa","Aktien Europa Select"
AT0000815402,852735,"UBM DEVELOPMENT AG","Aktien Europa","Aktien Europa Select"
AT0000818802,915210,"DO&CO RESTAURANTS&CATERING AG","Aktien Europa","Aktien Europa Select"
AT0000821103,928900,"UNIQA VERS","Aktien Europa","Aktien Europa Select"
AT0000825393,541664,"C-QUADRAT ARTS BEST.MOM.T",Fonds,"Fonds Aktien"
AT0000827209,A0LGV4,"WARIMPEX FIN.U.BETEIL. AG","Aktien Europa","Aktien Europa Select"
AT0000831706,852894,WIENERBERGER,"Aktien Europa","Aktien Europa Select"
AT0000834007,893975,"WOLFORD AG","Aktien Europa","Aktien Europa Select"
AT0000837307,A0JLPR,ZUMTOBEL,"Aktien Europa","Aktien Europa Select"
AT0000857412,988044,"AMUNDI AUSTRIA STOCK A",Fonds,"Fonds Aktien"
AT0000857768,973093,"IQAM SHORTTERM EUR RA",Fonds,"Fonds Renten"
AT0000858147,970995,"ERSTE STOCK VIENNA A",Fonds,"Fonds Aktien"
AT0000859509,971129,"RAIF.-NACHHAL.-RENT (R)A",Fonds,"Fonds Renten"
AT0000908504,A0ET17,"VIENNA INSURANCE GROUP","Aktien Europa","Aktien Europa Select"
AT0000913942,974145,"SCHOELLERBK AKTIENF.VAL.A",Fonds,"Fonds Aktien"
AT0000922554,892502,"ROSENBAUER INTERNATIONAL AG","Aktien Europa","Aktien Europa Select"
AT0000936513,973205,"RAIFF.-OSTEUR.-AKT.RA ST.",Fonds,"Fonds Aktien"
AT0000937503,897200,"VOESTALPINE AG","Aktien Europa","Aktien Europa Select"
AT0000938204,890447,"MAYR-MELNHOF KARTON","Aktien Europa","Aktien Europa Select"
AT0000946652,907391,SCHOELLER-BLECKMANN,"Aktien Europa","Aktien Europa Select"
AT0000969985,922230,"AT+S AUSTR.T.+SYSTEMT.","Aktien Europa","Aktien Europa Select"
AT0000996681,926452,"RAIFF.-EURO-RENT R A ST.",Fonds,"Fonds Renten"
AT0000A00XX9,A0JL31,"POLYTEC HOLDING AG","Aktien Europa","Aktien Europa Select"
AT0000A00Y78,A0JKWU,"PETRO WELT TECHNOLOGIE.AG","Aktien Deutschland","Aktien Sonstige"
AT0000A0E9W5,A0X9EJ,"KONTRON AG O.N","Aktien Deutschland","Aktien Sonstige"
AT0000A18XM4,A118Z8,"AMS-OSRAM AG","Aktien Europa","Aktien Europa Select"
AT0000A21KS2,A2JN9W,"IMMOFINANZ AG INH.","Aktien Europa","Aktien Europa Select"
AT0000A25NJ6,A2PBHR,"WOLFTANK-ADISA HLDG O.N.","Aktien Europa","Aktien Europa Select"
AT0000A2B4T3,A2PT6U,"GLOBALPORTFOLIOONE RT",Fonds,"Fonds Aktien"
