ISIN,WKN,Bezeichnung,Anlagegruppe,Anlageuniversum
DE000LS9AAB3,LS9AAB,"Solides Wachstum","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAC1,LS9AAC,"Niedriges Kurs-Buchwert-Verhältnis ","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAF4,LS9AAF,Dividenden-Kaiser,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAJ6,LS9AAJ,"Antizyklische Chancen","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAL2,LS9AAL,"Chancen Welt","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAM0,LS9AAM,"Tradingorientiertes Strategiedepot","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAN8,LS9AAN,"Trading Europa USA","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAP3,LS9AAP,"Top Trades","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAQ1,LS9AAQ,"CashCow's Best","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAR9,LS9AAR,JRSECOND,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAS7,LS9AAS,"Relative Stärke","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAT5,LS9AAT,"Selective Global Momentum Stock Picking","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAV1,LS9AAV,Monkey,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AAY5,LS9AAY,"AIC Trading -dynamisch-","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABA3,LS9ABA,"B&K Value-Growth Stars","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABD7,LS9ABD,"Antizyklisches Strategiedepot","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABF2,LS9ABF,"RH AbsoluteReturn","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABG0,LS9ABG,SelectDividend,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABJ4,LS9ABJ,"MINIMAX Verlustminimierung (konservativ)","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABK2,LS9ABK,"Digibull - Long Term Total Return","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABM8,LS9ABM,"Digibull - Infrastructure","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABP1,LS9ABP,"Digibull - Spekulantius","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABQ9,LS9ABQ,"Calm Before The Storm","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABS5,LS9ABS,"WAV Aktiendepot - Dividende und Substanz","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABU1,LS9ABU,"WAV Fondswertedepot 1","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABW7,LS9ABW,"Cap S 100","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABX5,LS9ABX,"Deutschland abseits von DAX-Werten","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ABY3,LS9ABY,"Trend Automatik","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACA1,LS9ACA,"Total Return - Nachhaltigkeitsindex","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACC7,LS9ACC,"Reich in Rente II","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACG8,LS9ACG,"konfusus says - TOP3 Assets","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACH6,LS9ACH,"Konsumgueter gegen Inflation","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACJ2,LS9ACJ,Trendfolge-Handelssystem,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACK0,LS9ACK,"Autopilot - Growth","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACL8,LS9ACL,"Long-Strategie nach MACD-Indikator","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACM6,LS9ACM,SolidesAktienwachstum,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACN4,LS9ACN,"AUTOPILOT - DEFENSIVE","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACQ7,LS9ACQ,SentTrading,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACR5,LS9ACR,"Den Nutzen von Ratings erschließen","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACS3,LS9ACS,"Growthstrategie Global","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACX3,LS9ACX,VV-Strategie-Konservativ,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACY1,LS9ACY,"Substanzerhalt & Wachstum","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ACZ8,LS9ACZ,"WINNER plus Stern","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADA9,LS9ADA,Potential-Research,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADC5,LS9ADC,"Wachstum und Performance ","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADD3,LS9ADD,"Selected Life Sciences","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADH4,LS9ADH,Swing-Trading,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADJ0,LS9ADJ,"Mister3M Gold und Silber Bulle 1a","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADL6,LS9ADL,"Chancen Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADM4,LS9ADM,"Fundamental unterbewertete Aktien","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADN2,LS9ADN,"Konfusus says - Top6 Assets","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADP7,LS9ADP,Speedifolio,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADQ5,LS9ADQ,"CHARITY TRADING – MARKTFÜHRER","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADT9,LS9ADT,"studentisches Aktiendepot","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADV5,LS9ADV,"PurKonInvest Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9ADZ6,LS9ADZ,Langzeitinvestment,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEA7,LS9AEA,Griechenland,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEB5,LS9AEB,Renditebringer,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEC3,LS9AEC,traders-chill-out,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEG4,LS9AEG,"Rohstoffe Wachstumsdepot LongShort","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEJ8,LS9AEJ,"finkener-trading strategy","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEK6,LS9AEK,Turn-Aaround,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEL4,LS9AEL,WPHandel-Mixed,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEM2,LS9AEM,Finanzbereit-Balanced,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEN0,LS9AEN,"Heizung - Heizöl - Hedge Zertifikat","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEP5,LS9AEP,"Aktienkorb D/EU","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEQ3,LS9AEQ,Basisportfolio,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AER1,LS9AER,Buchwert-Differenz-Fundamental-Datenbank,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AES9,LS9AES,TrendPowerSystem,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AET7,LS9AET,"Small Caps on Stereoids","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEV3,LS9AEV,"Aktien + Indizes Swing","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEW1,LS9AEW,"Metallrausch: Minen & Metalle LongShort","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEY7,LS9AEY,Ultra,"sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AEZ4,LS9AEZ,"Chancen vs. Risiken - Deutschland","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
DE000LS9AFA4,LS9AFA,"BlueChip Trading","sonstige Anlagezertifikate","wikifolio-Zertifikate ohne Hebelprodukte"
